transaction_id,customer_id,product_id,transaction_date,amount_paid
T000001,C00001,P007,2024-05-25,44.99
T000002,C00001,P007,2024-06-25,44.99
T000003,C00001,P007,2024-07-25,44.99
T000004,C00001,P007,2024-08-25,44.99
T000005,C00001,P007,2024-09-25,44.99
T000006,C00001,P007,2024-10-25,44.99
T000007,C00001,P007,2024-11-25,44.99
T000008,C00001,P007,2024-12-25,44.99
T000009,C00001,P007,2025-01-25,44.99
T000010,C00001,P007,2025-02-25,44.99
T000011,C00002,P007,2024-01-26,44.99
T000012,C00002,P007,2024-02-26,44.99
T000013,C00002,P007,2024-03-26,44.99
T000014,C00002,P007,2024-04-26,44.99
T000015,C00002,P007,2024-05-26,44.99
T000016,C00002,P007,2024-06-26,44.99
T000017,C00002,P007,2024-07-26,44.99
T000018,C00002,P007,2024-08-26,44.99
T000019,C00002,P007,2024-09-26,44.99
T000020,C00002,P007,2024-10-26,44.99
T000021,C00002,P007,2024-11-26,44.99
T000022,C00002,P007,2024-12-26,44.99
T000023,C00002,P007,2025-01-26,44.99
T000024,C00002,P007,2025-02-26,44.99
T000025,C00002,P007,2025-03-26,44.99
T000026,C00002,P007,2025-04-26,44.99
T000027,C00002,P007,2025-05-26,44.99
T000028,C00002,P007,2025-06-26,44.99
T000029,C00002,P007,2025-07-26,44.99
T000030,C00002,P006,2025-05-05,19.99
T000031,C00002,P004,2024-09-24,49.99
T000032,C00003,P007,2025-07-15,44.99
T000033,C00003,P007,2025-08-15,44.99
T000034,C00003,P007,2025-09-15,44.99
T000035,C00004,P001,2023-11-22,29.99
T000036,C00004,P001,2023-12-22,29.99
T000037,C00004,P001,2024-01-22,29.99
T000038,C00004,P001,2024-02-22,29.99
T000039,C00004,P001,2024-03-22,29.99
T000040,C00004,P001,2024-04-22,29.99
T000041,C00004,P001,2024-05-22,29.99
T000042,C00004,P001,2024-06-22,29.99
T000043,C00004,P001,2024-07-22,29.99
T000044,C00005,P007,2024-07-02,44.99
T000045,C00005,P007,2024-08-02,44.99
T000046,C00005,P007,2024-09-02,44.99
T000047,C00005,P007,2024-10-02,44.99
T000048,C00005,P007,2024-11-02,44.99
T000049,C00005,P007,2024-12-02,44.99
T000050,C00005,P007,2025-01-02,44.99
T000051,C00005,P007,2025-02-02,44.99
T000052,C00005,P007,2025-03-02,44.99
T000053,C00005,P007,2025-04-02,44.99
T000054,C00005,P007,2025-05-02,44.99
T000055,C00005,P007,2025-06-02,44.99
T000056,C00005,P007,2025-07-02,44.99
T000057,C00005,P007,2025-08-02,44.99
T000058,C00005,P007,2025-09-02,44.99
T000059,C00007,P006,2024-01-26,19.99
T000060,C00008,P003,2024-06-19,34.99
T000061,C00008,P003,2024-07-19,34.99
T000062,C00008,P003,2024-08-19,34.99
T000063,C00008,P003,2024-09-19,34.99
T000064,C00008,P003,2024-10-19,34.99
T000065,C00008,P003,2024-11-19,34.99
T000066,C00008,P003,2024-12-19,34.99
T000067,C00008,P003,2025-01-19,34.99
T000068,C00008,P003,2025-02-19,34.99
T000069,C00008,P003,2025-03-19,34.99
T000070,C00008,P003,2025-04-19,34.99
T000071,C00008,P003,2025-05-19,34.99
T000072,C00008,P003,2025-06-19,34.99
T000073,C00008,P003,2025-07-19,34.99
T000074,C00008,P003,2025-08-19,34.99
T000075,C00008,P003,2025-09-19,34.99
T000076,C00008,P005,2025-08-06,59.99
T000077,C00008,P010,2025-01-29,34.99
T000078,C00009,P003,2024-12-10,34.99
T000079,C00009,P003,2025-01-10,34.99
T000080,C00009,P003,2025-02-10,34.99
T000081,C00009,P003,2025-03-10,34.99
T000082,C00009,P003,2025-04-10,34.99
T000083,C00009,P003,2025-05-10,34.99
T000084,C00009,P003,2025-06-10,34.99
T000085,C00009,P003,2025-07-10,34.99
T000086,C00009,P003,2025-08-10,34.99
T000087,C00009,P003,2025-09-10,34.99
T000088,C00010,P008,2025-09-11,39.99
T000089,C00011,P008,2024-07-04,39.99
T000090,C00011,P008,2024-08-04,39.99
T000091,C00011,P008,2024-09-04,39.99
T000092,C00011,P008,2024-10-04,39.99
T000093,C00012,P002,2023-10-28,39.99
T000094,C00012,P002,2023-11-28,39.99
T000095,C00012,P002,2023-12-28,39.99
T000096,C00012,P002,2024-01-28,39.99
T000097,C00012,P002,2024-02-28,39.99
T000098,C00012,P002,2024-03-28,39.99
T000099,C00012,P002,2024-04-28,39.99
T000100,C00012,P002,2024-05-28,39.99
T000101,C00012,P002,2024-06-28,39.99
T000102,C00012,P002,2024-07-28,39.99
T000103,C00012,P002,2024-08-28,39.99
T000104,C00012,P002,2024-09-28,39.99
T000105,C00012,P002,2024-10-28,39.99
T000106,C00012,P002,2024-11-28,39.99
T000107,C00012,P002,2024-12-28,39.99
